year,month,value
1997,JAN,1.6587
1997,FEB,1.6246
1997,MAR,1.6063
1997,APR,1.6295
1997,MAY,1.6334
1997,JUN,1.6446
1997,JUL,1.6702
1997,AUG,1.6034
1997,SEP,1.6015
1997,OCT,1.6329
1997,NOV,1.689
1997,DEC,1.6597
1998,JAN,1.6353
1998,FEB,1.6407
1998,MAR,1.662
1998,APR,1.6733
1998,MAY,1.6366
1998,JUN,1.6507
1998,JUL,1.6437
1998,AUG,1.632
1998,SEP,1.6822
1998,OCT,1.6952
1998,NOV,1.662
1998,DEC,1.6705
1999,JAN,1.6509
1999,FEB,1.6276
1999,MAR,1.622
1999,APR,1.6105
1999,MAY,1.6154
1999,JUN,1.595
1999,JUL,1.5747
1999,AUG,1.6073
1999,SEP,1.6243
1999,OCT,1.6572
1999,NOV,1.6214
1999,DEC,1.6132
2000,JAN,1.6402
2000,FEB,1.5998
2000,MAR,1.5802
2000,APR,1.5837
2000,MAY,1.5075
2000,JUN,1.5089
2000,JUL,1.5088
2000,AUG,1.491
2000,SEP,1.4355
2000,OCT,1.4511
2000,NOV,1.4256
2000,DEC,1.4625
2001,JAN,1.4769
2001,FEB,1.4529
2001,MAR,1.4454
2001,APR,1.435
2001,MAY,1.4259
2001,JUN,1.4014
2001,JUL,1.4139
2001,AUG,1.4365
2001,SEP,1.4635
2001,OCT,1.4517
2001,NOV,1.4358
2001,DEC,1.4409
2002,JAN,1.4323
2002,FEB,1.4231
2002,MAR,1.4225
2002,APR,1.4434
2002,MAY,1.4593
2002,JUN,1.4863
2002,JUL,1.5546
2002,AUG,1.5377
2002,SEP,1.5561
2002,OCT,1.5574
2002,NOV,1.5723
2002,DEC,1.5863
2003,JAN,1.6169
2003,FEB,1.6085
2003,MAR,1.5836
2003,APR,1.5747
2003,MAY,1.623
2003,JUN,1.6606
2003,JUL,1.6242
2003,AUG,1.595
2003,SEP,1.6131
2003,OCT,1.6787
2003,NOV,1.6901
2003,DEC,1.7507
2004,JAN,1.8234
2004,FEB,1.8673
2004,MAR,1.8267
2004,APR,1.8005
2004,MAY,1.7876
2004,JUN,1.8275
2004,JUL,1.8429
2004,AUG,1.8216
2004,SEP,1.7922
2004,OCT,1.8065
2004,NOV,1.8603
2004,DEC,1.9275
2005,JAN,1.8764
2005,FEB,1.8871
2005,MAR,1.9078
2005,APR,1.896
2005,MAY,1.8538
2005,JUN,1.8179
2005,JUL,1.7509
2005,AUG,1.7943
2005,SEP,1.8081
2005,OCT,1.764
2005,NOV,1.7341
2005,DEC,1.7462
2006,JAN,1.7678
2006,FEB,1.747
2006,MAR,1.7435
2006,APR,1.7685
2006,MAY,1.8702
2006,JUN,1.8428
2006,JUL,1.8447
2006,AUG,1.8944
2006,SEP,1.8847
2006,OCT,1.8755
2006,NOV,1.9119
2006,DEC,1.9633
2007,JAN,1.9587
2007,FEB,1.9581
2007,MAR,1.9471
2007,APR,1.9909
2007,MAY,1.9836
2007,JUN,1.9864
2007,JUL,2.0338
2007,AUG,2.0111
2007,SEP,2.0185
2007,OCT,2.0446
2007,NOV,2.0701
2007,DEC,2.0185
2008,JAN,1.9698
2008,FEB,1.9638
2008,MAR,2.0032
2008,APR,1.9817
2008,MAY,1.9641
2008,JUN,1.9658
2008,JUL,1.988
2008,AUG,1.8889
2008,SEP,1.7986
2008,OCT,1.69
2008,NOV,1.5338
2008,DEC,1.4859
2009,JAN,1.4452
2009,FEB,1.4411
2009,MAR,1.4174
2009,APR,1.4715
2009,MAY,1.5429
2009,JUN,1.6366
2009,JUL,1.6366
2009,AUG,1.6539
2009,SEP,1.6328
2009,OCT,1.6199
2009,NOV,1.6597
2009,DEC,1.6239
2010,JAN,1.6162
2010,FEB,1.5615
2010,MAR,1.5053
2010,APR,1.534
2010,MAY,1.4627
2010,JUN,1.4761
2010,JUL,1.5299
2010,AUG,1.566
2010,SEP,1.5578
2010,OCT,1.5862
2010,NOV,1.5961
2010,DEC,1.5603
2011,JAN,1.5795
2011,FEB,1.613
2011,MAR,1.6159
2011,APR,1.6345
2011,MAY,1.6312
2011,JUN,1.6214
2011,JUL,1.6145
2011,AUG,1.6348
2011,SEP,1.5783
2011,OCT,1.576
2011,NOV,1.5804
2011,DEC,1.5585
2012,JAN,1.551
2012,FEB,1.5802
2012,MAR,1.5823
2012,APR,1.6014
2012,MAY,1.5905
2012,JUN,1.5571
2012,JUL,1.5589
2012,AUG,1.5719
2012,SEP,1.6116
2012,OCT,1.6079
2012,NOV,1.5961
2012,DEC,1.6144
2013,JAN,1.5957
2013,FEB,1.5478
2013,MAR,1.5076
2013,APR,1.5316
2013,MAY,1.5285
2013,JUN,1.5478
2013,JUL,1.5172
2013,AUG,1.5507
2013,SEP,1.5865
2013,OCT,1.6094
2013,NOV,1.6104
2013,DEC,1.6375
2014,JAN,1.647
2014,FEB,1.6567
2014,MAR,1.6622
2014,APR,1.6743
2014,MAY,1.6844
2014,JUN,1.6906
2014,JUL,1.7069
2014,AUG,1.6709
2014,SEP,1.6305
2014,OCT,1.6068
2014,NOV,1.578
2014,DEC,1.564
2015,JAN,1.5143
2015,FEB,1.5334
2015,MAR,1.4957
2015,APR,1.4967
2015,MAY,1.547
2015,JUN,1.5568
2015,JUL,1.556
2015,AUG,1.5583
2015,SEP,1.5326
2015,OCT,1.5339
2015,NOV,1.519
2015,DEC,1.4983
2016,JAN,1.4379
2016,FEB,1.4296
2016,MAR,1.425
2016,APR,1.4312
2016,MAY,1.4518
2016,JUN,1.4209
2016,JUL,1.3141
2016,AUG,1.31
2016,SEP,1.3142
2016,OCT,1.2329
2016,NOV,1.2431
2016,DEC,1.2488
2017,JAN,1.2351
2017,FEB,1.249
2017,MAR,1.2348
2017,APR,1.2652
2017,MAY,1.2933
2017,JUN,1.2813
2017,JUL,1.2994
2017,AUG,1.2955
2017,SEP,1.3324
2017,OCT,1.3197
2017,NOV,1.3219
2017,DEC,1.3402
2018,JAN,1.3832
2018,FEB,1.3961
2018,MAR,1.397
2018,APR,1.4083
2018,MAY,1.3459
2018,JUN,1.3288
2018,JUL,1.3169
2018,AUG,1.288
2018,SEP,1.3062
2018,OCT,1.3012
2018,NOV,1.2901
2018,DEC,1.2661
2019,JAN,1.2901
2019,FEB,1.3017
2019,MAR,1.3165
2019,APR,1.3036
2019,MAY,1.2841
2019,JUN,1.2679
2019,JUL,1.2469
2019,AUG,1.2155
2019,SEP,1.2354
2019,OCT,1.2647
2019,NOV,1.2883
2019,DEC,1.3101
2020,JAN,1.3071
2020,FEB,1.2957
2020,MAR,1.2364
2020,APR,1.241
2020,MAY,1.23
2020,JUN,1.2526
2020,JUL,1.2691
2020,AUG,1.3126
2020,SEP,1.2956
2020,OCT,1.2985
2020,NOV,1.3207
2020,DEC,1.3432
2021,JAN,1.3633
2021,FEB,1.387
2021,MAR,1.3859
2021,APR,1.3842
