date,unemployment_percentage_value
31/01/2000,9.43822
29/02/2000,9.352092
31/03/2000,9.261077
30/04/2000,9.176889
31/05/2000,9.12509
30/06/2000,9.083972
31/07/2000,9.037603
31/08/2000,8.981948
30/09/2000,8.928009
31/10/2000,8.819528
30/11/2000,8.756722
31/12/2000,8.67833
31/01/2001,8.571759
28/02/2001,8.533706
31/03/2001,8.491079
30/04/2001,8.469376
31/05/2001,8.487019
30/06/2001,8.461525
31/07/2001,8.455067
31/08/2001,8.473672
30/09/2001,8.498677
31/10/2001,8.525259
30/11/2001,8.5585
31/12/2001,8.570652
31/01/2002,8.560988
28/02/2002,8.605309
31/03/2002,8.576526
30/04/2002,8.636521
31/05/2002,8.665835
30/06/2002,8.700569
31/07/2002,8.771944
31/08/2002,8.814498
30/09/2002,8.855717
31/10/2002,8.891052
30/11/2002,8.943072
31/12/2002,9.014671
31/01/2003,9.088293
28/02/2003,9.114699
31/03/2003,9.172613
30/04/2003,9.167865
31/05/2003,9.181198
30/06/2003,9.234149
31/07/2003,9.203229
31/08/2003,9.173349
30/09/2003,9.204768
31/10/2003,9.202609
30/11/2003,9.21657
31/12/2003,9.292474
31/01/2004,9.385663
29/02/2004,9.39896
31/03/2004,9.445126
30/04/2004,9.417276
31/05/2004,9.394602
30/06/2004,9.359912
31/07/2004,9.357317
31/08/2004,9.375128
30/09/2004,9.432378
31/10/2004,9.425694
30/11/2004,9.425502
31/12/2004,9.355587
31/01/2005,9.29749
28/02/2005,9.294559
31/03/2005,9.286126
30/04/2005,9.363646
31/05/2005,9.309363
30/06/2005,9.314577
31/07/2005,9.235372
31/08/2005,9.168372
30/09/2005,9.188183
31/10/2005,9.169695
30/11/2005,9.109834
31/12/2005,9.047122
31/01/2006,8.968278
28/02/2006,8.918272
31/03/2006,8.818364
30/04/2006,8.705246
31/05/2006,8.615973
30/06/2006,8.502138
31/07/2006,8.427973
31/08/2006,8.386876
30/09/2006,8.313454
31/10/2006,8.2462
30/11/2006,8.157738
31/12/2006,8.037263
31/01/2007,7.997484
28/02/2007,7.91929
31/03/2007,7.816167
30/04/2007,7.69265
31/05/2007,7.672742
30/06/2007,7.586134
31/07/2007,7.631413
31/08/2007,7.590245
30/09/2007,7.525318
31/10/2007,7.475977
30/11/2007,7.434111
31/12/2007,7.433603
31/01/2008,7.41557
29/02/2008,7.376858
31/03/2008,7.346145
30/04/2008,7.452178
31/05/2008,7.506129
30/06/2008,7.582513
31/07/2008,7.581814
31/08/2008,7.678562
30/09/2008,7.752141
31/10/2008,7.89098
30/11/2008,8.113689
31/12/2008,8.353346
31/01/2009,8.752452
28/02/2009,9.053903
31/03/2009,9.345563
30/04/2009,9.508599
31/05/2009,9.61771
30/06/2009,9.700024
31/07/2009,9.786532
31/08/2009,9.856961
30/09/2009,10.005796
31/10/2009,10.07235
30/11/2009,10.142786
31/12/2009,10.164649
31/01/2010,10.237112
28/02/2010,10.280727
31/03/2010,10.282519
30/04/2010,10.352609
31/05/2010,10.344952
30/06/2010,10.317153
31/07/2010,10.250411
31/08/2010,10.222364
30/09/2010,10.23546
31/10/2010,10.258435
30/11/2010,10.200146
31/12/2010,10.190583
31/01/2011,10.153809
28/02/2011,10.124845
31/03/2011,10.100002
30/04/2011,10.030366
31/05/2011,10.089705
30/06/2011,10.130418
31/07/2011,10.239972
31/08/2011,10.322999
30/09/2011,10.475052
31/10/2011,10.572172
30/11/2011,10.711698
31/12/2011,10.83099
31/01/2012,10.875796
29/02/2012,11.036779
31/03/2012,11.205919
30/04/2012,11.319206
31/05/2012,11.398395
30/06/2012,11.483234
31/07/2012,11.550688
31/08/2012,11.603627
30/09/2012,11.712635
31/10/2012,11.86851
30/11/2012,11.986074
31/12/2012,12.031215
31/01/2013,12.215733
28/02/2013,12.229943
31/03/2013,12.235659
30/04/2013,12.238928
31/05/2013,12.215229
30/06/2013,12.16221
31/07/2013,12.129488
31/08/2013,12.093636
30/09/2013,12.13054
31/10/2013,12.069109
30/11/2013,12.061582
31/12/2013,11.998093
31/01/2014,12.054753
28/02/2014,12.011807
31/03/2014,11.946817
30/04/2014,11.815843
31/05/2014,11.759302
30/06/2014,11.626104
31/07/2014,11.663404
31/08/2014,11.545233
30/09/2014,11.606317
31/10/2014,11.621479
30/11/2014,11.637853
31/12/2014,11.471275
31/01/2015,11.392773
28/02/2015,11.344015
31/03/2015,11.308114
30/04/2015,11.187323
31/05/2015,11.130522
30/06/2015,11.070238
31/07/2015,10.84525
31/08/2015,10.753885
30/09/2015,10.72023
31/10/2015,10.721111
30/11/2015,10.611049
31/12/2015,10.580096
31/01/2016,10.483888
29/02/2016,10.464264
31/03/2016,10.338317
30/04/2016,10.304907
31/05/2016,10.228709
30/06/2016,10.169244
31/07/2016,10.030167
31/08/2016,9.96603
30/09/2016,9.924601
31/10/2016,9.852518
30/11/2016,9.878011
31/12/2016,9.738096
31/01/2017,9.653229
28/02/2017,9.558923
31/03/2017,9.48411
30/04/2017,9.301497
31/05/2017,9.260796
30/06/2017,9.113586
31/07/2017,9.093948
31/08/2017,9.009772
30/09/2017,8.926497
31/10/2017,8.8194
30/11/2017,8.75548
31/12/2017,8.718982
31/01/2018,8.706076
28/02/2018,8.604506
31/03/2018,8.532063
30/04/2018,8.442061
31/05/2018,8.297873
30/06/2018,8.242772
31/07/2018,8.11149
31/08/2018,8.025946
30/09/2018,7.993043
31/10/2018,8.036108
30/11/2018,7.939629
31/12/2018,7.869514
31/01/2019,7.854288
28/02/2019,7.829662
31/03/2019,7.73794
30/04/2019,7.708143
31/05/2019,7.630239
30/06/2019,7.535223
31/07/2019,7.520131
31/08/2019,7.457167
30/09/2019,7.460791
31/10/2019,7.440802
30/11/2019,7.476166
31/12/2019,7.48399
31/01/2020,7.479216
29/02/2020,7.346565
31/03/2020,7.198817
30/04/2020,7.404497
31/05/2020,7.630967
30/06/2020,8.081103
31/07/2020,8.462497
31/08/2020,8.583921
30/09/2020,8.556951
31/10/2020,8.380126
30/11/2020,8.197581
31/12/2020,8.198311
31/01/2021,8.245772
28/02/2021,8.22
31/03/2021,8.172226
30/04/2021,8.236273
31/05/2021,8.06085
30/06/2021,7.861247
31/07/2021,7.67793
31/08/2021,7.524259
30/09/2021,7.340222
31/10/2021,7.241622
30/11/2021,7.084705
31/12/2021,6.989734
31/01/2022,6.9035
28/02/2022,6.822835
31/03/2022,6.792515
30/04/2022,6.738778
31/05/2022,6.704138
30/06/2022,6.710716
31/07/2022,6.664321
31/08/2022,6.706012
30/09/2022,6.681113
31/10/2022,6.647172
30/11/2022,6.673098
31/12/2022,6.654821
31/01/2023,6.650539
28/02/2023,6.595604
31/03/2023,6.526948
30/04/2023,6.49761
31/05/2023,6.460935
30/06/2023,6.429879
31/07/2023,6.49731
31/08/2023,6.444424
30/09/2023,6.478344
