date,report_title
12-Jul-23,Financial Stability Report - July 2023
13-Dec-22,Financial Stability Report - December 2022
05-Jul-22,Financial Stability Report - July 2022
13-Dec-21,Financial Stability Report - December 2021
13-Jul-21,Financial Stability Report - July 2021
11-Dec-20,Financial Stability Report - December 2020
06-Aug-20,Financial Stability Report - August 2020
07-May-20,Financial Stability Report - May 2020
16-Dec-19,Financial Stability Report - December 2019
11-Jul-19,Financial Stability Report and Record - July 2019
28-Nov-18,Financial Stability Report and Stress Test results - November 2018
27-Jun-18,Financial Stability Report - June 2018
28-Nov-17,Financial Stability Report - November 2017
27-Jun-17,Financial Stability Report - June 2017
30-Nov-16,Financial Stability Report - November 2016
05-Jul-16,Financial Stability Report - July 2016
01-Dec-15,Financial Stability Report - December 2015
01-Jul-15,Financial Stability Report - July 2015
16-Dec-14,Financial Stability Report - December 2014
26-Jun-14,Financial Stability Report - June 2014
28-Nov-13,Financial Stability Report - November 2013
26-Jun-13,Financial Stability Report - June 2013
29-Nov-12,Financial Stability Report - November 2012
29-Jun-12,Financial Stability Report - June 2012
01-Dec-11,Financial Stability Report - December 2011
24-Jun-11,Financial Stability Report - June 2011
17-Dec-10,Financial Stability Report - December 2010
25-Jun-10,Financial Stability Report - June 2010
18-Dec-09,Financial Stability Report - December 2009
26-Jun-09,Financial Stability Report - June 2009
28-Oct-08,Financial Stability Report - October 2008
01-May-08,Financial Stability Report - May 2008
25-Oct-07,Financial Stability Report - October 2007
26-Apr-07,Financial Stability Report - April 2007
12-Jul-06,Financial Stability Report - July 2006
13-Dec-05,Financial Stability Review - December 2005
22-Jun-05,Financial Stability Review - June 2005
13-Dec-04,Financial Stability Review - December 2004
28-Jun-04,Financial Stability Review - June 2004
11-Dec-03,Financial Stability Review - December 2003
26-Jun-03,Financial Stability Review - June 2003
12-Dec-02,Financial Stability Review - December 2002
27-Jun-02,Financial Stability Review - June 2002
13-Dec-01,Financial Stability Review - December 2001
28-Jun-01,Financial Stability Review - June 2001
14-Dec-00,Financial Stability Review - December 2000
29-Jun-00,Financial Stability Review - June 2000
26-Nov-99,Financial Stability Review - November 1999
18-Jun-99,Financial Stability Review - June 1999
16-Nov-98,Financial Stability Review - Autumn 1998
18-May-98,Financial Stability Review - Spring 1998
16-Oct-97,Financial Stability Review - Autumn 1997
03-Mar-97,Financial Stability Review - Spring 1997
31-Oct-96,Financial Stability Review - Autumn 1996
