date,value_percentage
01/01/1998,4.7
01/04/1998,4.7
01/07/1998,6.9
01/10/1998,7.8
01/01/1999,5.2
01/04/1999,5
01/07/1999,6.9
01/10/1999,9.1
01/01/2000,4.2
01/04/2000,10.2
01/07/2000,2.8
01/10/2000,4.6
01/01/2001,1.3
01/04/2001,5
01/07/2001,0
01/10/2001,2.4
01/01/2002,4.7
01/04/2002,3.9
01/07/2002,3.6
01/10/2002,2.8
01/01/2003,4.1
01/04/2003,5.1
01/07/2003,9.3
01/10/2003,7.3
01/01/2004,5.2
01/04/2004,6.5
01/07/2004,6.5
01/10/2004,7.4
01/01/2005,7.9
01/04/2005,5
01/07/2005,7
01/10/2005,5.6
01/01/2006,8.5
01/04/2006,4.6
01/07/2006,3.4
01/10/2006,5
01/01/2007,5.1
01/04/2007,5.3
01/07/2007,4.6
01/10/2007,4.2
01/01/2008,-0.2
01/04/2008,4.4
01/07/2008,0.9
01/10/2008,-7.6
01/01/2009,-4.8
01/04/2009,-1.4
01/07/2009,1.9
01/10/2009,5.7
01/01/2010,3.1
01/04/2010,6
01/07/2010,4.4
01/10/2010,4.5
01/01/2011,1.1
01/04/2011,5.5
01/07/2011,2.3
01/10/2011,5.1
01/01/2012,5.8
01/04/2012,3.5
01/07/2012,2.8
01/10/2012,2.5
01/01/2013,5.7
01/04/2013,1.9
01/07/2013,5.5
01/10/2013,5.7
01/01/2014,0.1
01/04/2014,7.7
01/07/2014,6.7
01/10/2014,2.4
01/01/2015,3.4
01/04/2015,4.9
01/07/2015,2.7
01/10/2015,0.7
01/01/2016,2
01/04/2016,4.1
01/07/2016,3.9
01/10/2016,4.2
01/01/2017,4.1
01/04/2017,3.3
01/07/2017,5.3
01/10/2017,7.2
01/01/2018,5.9
01/04/2018,5.1
01/07/2018,4.3
01/10/2018,2.3
01/01/2019,3.6
01/04/2019,5.4
01/07/2019,5.9
01/10/2019,3.9
01/01/2020,-3.5
01/04/2020,-29.2
01/07/2020,39.7
01/10/2020,7.1
01/01/2021,10.9
01/04/2021,12.8
01/07/2021,9.5
01/10/2021,14.6
01/01/2022,6.2
01/04/2022,8.5
01/07/2022,7.2
01/10/2022,6.5
01/01/2023,6.3
01/04/2023,3.8
01/07/2023,8.5
